# GIIGNL Annual Report 2026 edition, "LNG Quantities (in MT) received in 2025"; pdf sha256 47554f0b17d7853822b17749e2b3f44d767082e28f1f32c2bb66cb9dd0b47ca6; extracted by scripts/extract-giignl-matrix.mjs
market,kind,Algeria,Angola,Cameroon,Congo,Egypt,Equatorial Guinea,Mauritania,Mexico,Nigeria,Norway,Russia Europe,Trinidad & Tobago,USA,Atlantic Basin,Oman,Qatar,UAE,Middle East,Australia,Brunei,Canada,Indonesia,Malaysia,Mozambique,Papua New Guinea,Peru,Russia Asia,Pacific Basin,Net Reloads Received,Grand Total
ASIA,region,0.1,1.9,0.9,0.2,0.1,1.2,0.3,0.1,6.1,,6.3,1.4,17.9,36.4,10.5,66.4,5,81.8,78.6,5,2,15.8,27.3,3.4,8.7,2,9.8,152.7,0.1,271
China,country,0.1,,,,,0.2,0.1,,1.2,,5.1,0.3,0.3,7.2,1.4,20.2,0.4,22.1,21.2,0.4,0.4,3.7,7.2,0.2,2.4,0.2,2.4,38,-0.3,67
Japan,country,,,,,,0.2,,,0.6,,,,4.7,5.6,3,3.4,0.8,7.1,26.2,2.7,0.6,3.8,9.6,0.2,3.5,0.6,5.7,52.8,0.4,65.9
South Korea,country,0.1,,0.1,0.1,,0.2,,0.1,0.6,,0.7,0.9,4.5,7.2,2.1,7.3,0.2,9.6,15.4,0.9,0.7,2.1,8,0.9,0.8,1.1,1.7,31.6,0.4,48.7
India,country,,1.7,0.4,,,0.1,0.1,0.1,1.7,,,,3,7.2,2.1,11.6,3.2,16.9,0.5,,,,,0.6,,,,1.2,,25.3
Taiwan,country,,,,,0.1,,,,0.2,,0.4,,2.5,3.1,1.1,7.8,0.2,9.1,7.8,0.7,0.3,0.4,0.1,,1.8,0.1,,11.2,0.1,23.5
Thailand,country,,0.2,0.2,0.2,,0.3,,,0.5,,,,1.2,2.7,0.7,2.1,0.1,2.9,2,0.2,,0.2,1.6,0.7,0.2,,,4.9,0.1,10.5
Bangladesh,country,,0.1,,,,0.1,,,0.2,,,0.1,1.2,1.7,,4.2,,4.2,0.2,,,0.1,0.1,0.3,,,,0.7,0.4,7
Pakistan,country,,,,,,,,,0.1,,,,,0.1,,6.6,,6.6,,,,,,,,,,,,6.7
Singapore,country,,,,,,0.1,,,,,,,0.3,0.3,,2.7,,2.7,2.3,,,0.1,0.3,0.5,,,,3.1,-0.4,5.7
Indonesia,country,,,0.2,,,,,,,,,,0.1,0.3,0.1,,,0.1,0.3,,,5.2,,,,,,5.6,-0.7,5.3
Malaysia,country,,,,,,,,,,,,0.1,,0.1,,,,,2.2,,,,,,,,,2.2,,2.3
Philippines,country,,,,,,,,,0.6,,,,0.1,0.7,0.1,0.1,,0.1,0.6,,,0.1,0.2,,,,,1,0.1,1.9
Hong Kong,country,,,,,,,,,0.3,,,,,0.3,,0.3,,0.3,,,,,,,,,,,,0.6
Vietnam,country,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,,,0.2,,,,0.1,0.4,,0.5
EUROPE,region,9.3,2.8,0.5,0.5,0.4,1.3,0.7,0.3,6.7,3,14.7,1.9,73.8,115.7,0.1,9,,9.1,0.1,,,,,0.1,,1.3,,1.4,,126.3
France,country,2.3,0.3,0.1,0.1,,0.1,,0.1,1.4,0.7,6.2,,10.9,22.2,,,,,0.1,,,,,,,0.5,,0.6,,22.8
Netherlands,country,,0.7,,,,0.3,,,0.3,0.8,1.4,0.2,12.8,16.7,,,,,,,,,,,,0.2,,0.2,0.1,16.9
Spain,country,1.4,1.4,0.1,0.2,0.1,0.1,,,1.8,0.1,2.8,0.2,7.3,15.4,,0.4,,0.4,,,,,,,,0.4,,0.4,-0.1,16.1
Italy,country,1.6,,,0.1,0.1,0.2,0.2,,0.2,,0.1,0.4,6.8,9.7,,4.8,,4.8,,,,,,,,,,,,14.5
Türkiye,country,3.2,0.1,0.3,,0.1,0.4,0.2,,0.6,,,0.2,6.6,11.8,0.1,,,0.1,,,,,,0.1,,,,0.1,0.1,12
Belgium,country,,0.1,,,,0.1,0.1,,0.3,0.1,3.9,0.1,3.8,8.6,,1.7,,1.7,,,,,,,,,,,-0.1,10.2
UK,country,0.6,0.2,,,,0.1,,0.1,0.3,0.2,,0.2,7.3,8.8,,0.6,,0.6,,,,,,,,0.2,,0.2,0.1,9.6
Germany,country,,,,0.1,,0.1,,0.1,,0.2,,0.1,7,7.6,,,,,,,,,,,,,,,,7.6
Poland,country,,,,,,,0.1,,,,,,4.4,4.5,,1.6,,1.6,,,,,,,,,,,,6.1
Portugal,country,,,,,,,,,1.6,,0.2,,1.4,3.2,,,,,,,,,,,,,,,,3.2
Lithuania,country,,,,,,,0.1,,,0.6,,0.1,1.6,2.4,,,,,,,,,,,,,,,,2.4
Greece,country,0.1,,,,0.1,,,,0.1,0.1,,,2,2.2,,,,,,,,,,,,,,,-0.1,2.2
Croatia,country,0.2,,,,,,,,0.1,,,0.3,1,1.6,,,,,,,,,,,,,,,,1.6
Finland,country,,,,,,,,,,0.1,,,0.7,0.9,,,,,,,,,,,,,,,,0.9
Malta,country,,,,,,,,,,,,0.1,0.1,0.2,,,,,,,,,,,,,,,,0.2
AMERICAS,region,,,0.1,,0.1,,,0.7,0.6,,,3.3,7.3,12.1,,0.1,,0.1,0.1,,,0.1,,,,0.2,,0.4,-0.2,12.3
Brazil,country,,,0.1,,,,,,,,,0.2,1.7,2.1,,,,,,,,,,,,,,,-0.1,1.9
Chile,country,,,,,,,,,,,,1.1,0.9,2,,,,,,,,,,,,,,,-0.1,1.9
Dominican Republic,country,,,,,,,,,,,,,1.7,1.7,,,,,,,,,,,,,,,,1.7
Puerto Rico,country,,,,,,,,0.6,0.1,,,0.3,0.7,1.6,,,,,,,,,,,,,,,,1.6
Colombia,country,,,,,,,,,,,,0.6,0.8,1.4,,,,,,,,,,,,,,,,1.4
Argentina,country,,,,,,,,,,,,0.4,0.5,0.9,,,,,,,,,,,,,,,0.1,1
Panama,country,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,0.6
Jamaica,country,,,,,,,,0.1,0.4,,,0.1,0.1,0.7,,,,,,,,,,,,,,,-0.1,0.6
Canada,country,,,,,0.1,,,,,,,0.3,,0.3,,,,,0.1,,,,,,,0.1,,0.1,,0.5
USA,country,,,,,,,,,0.1,,,0.2,,0.3,,0.1,,0.1,,,,,,,,,,,,0.4
Mexico,country,,,,,,,,,,,,,0.1,0.1,,,,,,,,0.1,,,,0.2,,0.2,,0.4
El Salvador,country,,,,,,,,,0.1,,,0.1,0.1,0.3,,,,,,,,,,,,,,,,0.3
MIDDLE EAST & AFRICA,region,,0.1,,,,0.3,0.3,,0.9,0.1,,0.2,10.1,12,1,5,0.1,6.1,,,,,,0.1,,,,0.1,0.1,18.2
Egypt,country,,,,,,0.1,0.2,,,0.1,,0.2,8.5,9.1,,,,,,,,,,,,,,,0.1,9.2
Kuwait,country,,0.1,,,,,,,0.8,,,,0.1,1,0.9,4.8,0.1,5.7,,,,,,0.1,,,,0.1,,6.8
Jordan,country,,,,,,,0.1,,,,,,0.7,0.8,,,,,,,,,,,,,,,,0.8
Bahrain,country,,,,,,0.1,,,,,,,0.4,0.5,,0.2,,0.2,,,,,,,,,,,,0.6
UAE,country,,0.1,,,,0.1,,,0.1,,,,0.1,0.3,0.1,0.1,,0.2,,,,,,,,,,,,0.5
Senegal,country,,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,0.3
GRAND TOTAL,region,9.4,4.9,1.4,0.7,0.5,2.8,1.2,1.1,14.2,3.2,20.9,6.7,109.1,176.2,11.5,80.5,5.1,97.1,78.8,5,2,15.9,27.3,3.6,8.7,3.5,9.8,154.6,,427.9
